name,thesis_tag,note
Mistral AI,eu-ai-sovereignty,"Europe's flagship open-weight LLM lab in Paris. Watch for mega-rounds and any sovereign-cloud or government partnership."
Black Forest Labs,eu-ai-sovereignty,"FLUX image-generation models from an ex-Stability/DeepMind team in Freiburg. Watch for a US-led round or major licensing deal."
Aleph Alpha,eu-ai-sovereignty,"Heidelberg lab now selling sovereign-AI tooling to European governments and defense. Watch for public-sector contract wins."
Poolside,eu-ai-sovereignty,"AI code-generation foundation model led by ex-GitHub executives in Paris. Watch for Series rounds and enterprise design wins."
Helsing,defense-dual-use,"Europe's defense-AI leader in Munich. Watch for NATO and national procurement contracts and any new equity round."
ARX Robotics,defense-dual-use,"Military ground robotics and unmanned systems in Munich. Watch for Bundeswehr or allied orders and follow-on funding."
Quantum Systems,defense-dual-use,"Dual-use reconnaissance drones in Munich. Watch for defense framework contracts and expansion rounds."
Stark,defense-dual-use,"Loitering-munitions and defense-AI startup in Munich. Early-stage radar - watch for a first priced round and pilot contracts."
The Exploration Company,defense-dual-use,"Reusable space capsule built across Munich and Bordeaux. Watch for launch-contract wins and Series funding."
Axelera AI,semiconductors,"AI-inference silicon from Eindhoven with EU Chips Act relevance. Watch for tape-out milestones and a large strategic round."
n8n,ai-infrastructure,"Workflow-automation and AI-agent orchestration in Berlin. Watch for ARR-driven rounds as agentic adoption accelerates."
ElevenLabs,vertical-ai,"AI voice and audio leader in London. Watch for fast-cadence rounds and any enterprise or platform partnership."
Synthesia,vertical-ai,"AI video and avatars for enterprise in London. Watch for growth rounds and large enterprise expansions."
Lovable,vertical-ai,"AI app-builder with one of Europe's fastest ARR ramps, based in Stockholm. Watch for a blockbuster round at a steep valuation."
Legora,vertical-ai,"AI copilot for law firms, based in Stockholm. Watch for US expansion and rounds led by top-tier funds."
Wayve,vertical-ai,"Embodied AI for autonomous driving in London. Watch for OEM partnerships and very large strategic rounds."
DeepL,vertical-ai,"AI translation incumbent expanding into broader language AI from Cologne. Watch for secondary or growth rounds."
Qonto,fintech-regulated,"SMB neobank in Paris with DORA and payments-licensing exposure. Watch for profitability milestones or M&A."
Trade Republic,fintech-regulated,"Retail brokerage and savings at scale in Berlin. Heavily regulated - watch for banking-licence moves and rounds."
Pennylane,fintech-regulated,"Accounting and finance platform for SMBs in Paris. Fast grower - watch for a large round and cross-border expansion."
Pasqal,deep-tech-quantum,"Neutral-atom quantum computing in Paris. EU deep-tech sovereignty - watch for hardware milestones and strategic funding."
Multiverse Computing,deep-tech-quantum,"Quantum-inspired AI and LLM compression from San Sebastian. Watch for enterprise deals and follow-on rounds."
Bioptimus,biotech-ai,"Foundation model for biology, based in Paris. Watch for pharma partnerships and Series funding."
Verkor,climate-energy,"Low-carbon battery gigafactory in Grenoble. EU critical-supply-chain play - watch for project financing and offtake deals."
Electra,climate-energy,"EV fast-charging network in Paris. Watch for large infrastructure-backed rounds and country expansion."
